77/10 02S 146E     3 
77/10 03S 149E     7 
77/10 04S 150E    13 
                     AY02118                U    
77/10 04S 151E     2 
77/10 04S 153E     1 
77/10 06S 152E     2 
77/10 08S 155E  1177 
                     SC03341 78/02 19S 177E PL FJ
                     SC03333 78/02 19S 177E PL FJ
                     SC03329 78/02 19S 177E PL FJ
                     SC03296 78/02 19S 177E PL FJ
                     SC03271 78/02 19S 177E PL FJ
                     SC03249 78/02 19S 177E PL FJ
                     SC03239 78/02 19S 177E PL FJ
                     SC03200 78/02 19S 177E PL FJ
                     SC03192 78/02 19S 177E PL FJ
                     SC03169 78/02 19S 177E PL FJ
                     SC03121 78/02 19S 177E PL FJ
                     SC03112 78/02 19S 177E PL FJ
                     SC03103 78/02 19S 177E PL FJ
                     SC03097 78/02 19S 177E PL FJ
                     SC03090 78/02 19S 177E PL FJ
                     SC03086 78/02 19S 177E PL FJ
                     SC03083 78/02 19S 177E PL FJ
                     SC03072 78/02 19S 177E PL FJ
                     SC02973 78/02 19S 177E PL FJ
                     SC02967 78/02 19S 177E PL FJ
                     SC02946 78/02 19S 177E PL FJ
                     SC02942 78/02 19S 177E PL FJ
                     SC02934 78/02 19S 177E PL FJ
                     SC02908 78/02 19S 177E PL FJ
                     SC02907 78/02 19S 177E PL FJ
                     SC02905 78/02 19S 177E PL FJ
                     SC02806 78/02 19S 177E PL FJ
                     SC02773 78/02 19S 177E PL FJ
                     SC02772 78/02 19S 177E PL FJ
                     SC02753 78/02 19S 177E PL FJ
                     SC02722 78/02 19S 177E PL FJ
                     SC02719 78/02 19S 177E PL FJ
                     SC02713 78/02 19S 177E PL FJ
                     SC02689 78/02 19S 177E PL FJ
                     SC02683 78/02 19S 177E PL FJ
                     SC02679 78/02 19S 177E PL FJ
                     SC02678 78/02 19S 177E PL FJ
                     SC02667 78/02 19S 177E PL FJ
                     SC02661 78/02 19S 177E PL FJ
                     SC02657 78/02 19S 177E PL FJ
                     SC02653 78/02 19S 177E PL FJ
                     SC02649 78/02 19S 177E PL FJ
                     SC03539 78/02 19S 177E PL FJ
                     SC03528 78/02 19S 177E PL FJ
                     SC03511 78/02 19S 177E PL FJ
                     SC03495 78/02 19S 177E PL FJ
                     SC03491 78/02 19S 177E PL FJ
                     SC02436 78/02 19S 177E PL FJ
                     SC02427 78/02 19S 177E PL FJ
                     SC02308 78/02 19S 177E PL FJ
                     SC02343 78/02 19S 177E PL FJ
                     SC00546 78/02 19S 177E PL FJ
                     SC00551 78/02 19S 177E PL FJ
                     SC00581 78/02 19S 177E PL FJ
                     SC00578 78/02 19S 177E PL FJ
                     SC00590 78/02 19S 177E PL FJ
                     SC02254 78/02 19S 177E PL FJ
                     SC02268 78/02 19S 177E PL FJ
                     SC02285 78/02 19S 177E PL FJ
                     SC02296 78/02 19S 177E PL FJ
                     SC02277 78/02 19S 177E PL FJ
                     SC02248 78/02 19S 178E PL FJ
                     SC02576 78/02 19S 178E PL FJ
                     SC02998 78/02 19S 178E PL FJ
                     SC03095 78/02 19S 178E PL FJ
                     SC03196 78/02 19S 178E PL FJ
                     SC02699 78/02 19S 178E PL FJ
                     SC02303 78/02 20S 177E PL FJ
                     SC02888 78/02 20S 177E PL FJ
                     SC03470 78/02 20S 177E PL FJ
                     SC03065 78/02 20S 177E PL FJ
                     SC00561 78/02 20S 177E PL FJ
                     SC02255 78/02 20S 177E PL FJ
                     SC02295 78/02 20S 177E PL FJ
                     SC02297 78/02 20S 177E PL FJ
                     SC02284 78/02 20S 177E PL FJ
                     SC02826 78/02 20S 178E PL FJ
                     SC02300 78/03 19S 177E PL FJ
                     SC02332 78/03 19S 177E PL FJ
                     SC02484 78/03 19S 177E PL FJ
                     SC02478 78/03 19S 177E PL FJ
                     SC02447 78/03 19S 177E PL FJ
                     SC02435 78/03 19S 177E PL FJ
                     SC02434 78/03 19S 177E PL FJ
                     SC02415 78/03 19S 177E PL FJ
                     SC02405 78/03 19S 177E PL FJ
                     SC02386 78/03 19S 177E PL FJ
                     SC03490 78/03 19S 177E PL FJ
                     SC03458 78/03 19S 177E PL FJ
                     SC03454 78/03 19S 177E PL FJ
                     SC03387 78/03 19S 177E PL FJ
                     SC03361 78/03 19S 177E PL FJ
                     SC03323 78/03 19S 177E PL FJ
                     SC03248 78/03 19S 177E PL FJ
                     SC03246 78/03 19S 177E PL FJ
                     SC03227 78/03 19S 177E PL FJ
                     SC03185 78/03 19S 177E PL FJ
                     SC03142 78/03 19S 177E PL FJ
                     SC03113 78/03 19S 177E PL FJ
                     SC03099 78/03 19S 177E PL FJ
                     SC03096 78/03 19S 177E PL FJ
                     SC03044 78/03 19S 177E PL FJ
                     SC03036 78/03 19S 177E PL FJ
                     SC03029 78/03 19S 177E PL FJ
                     SC03011 78/03 19S 177E PL FJ
                     SC03001 78/03 19S 177E PL FJ
                     SC02957 78/03 19S 177E PL FJ
                     SC02885 78/03 19S 177E PL FJ
                     SC02866 78/03 19S 177E PL FJ
                     SC02856 78/03 19S 177E PL FJ
                     SC02737 78/03 19S 177E PL FJ
                     SC02703 78/03 19S 177E PL FJ
                     SC02614 78/03 19S 177E PL FJ
                     SC02612 78/03 19S 177E PL FJ
