1977/10 02S 146E     3 
1977/10 03S 149E     197 
1977/10 04S 150E    13 
                     AY02118                U    
1977/10 04S 151E     2 
1977/10 04S 153E     1 
1977/10 06S 152E     2 
1977/10 08S 155E  1177 
                     SC03329 1978/02 19S 177E PL XX
                     SC03296 1978/02 19S 177E PL XX
                     SC03271 1978/02 19S 177E PL XX
                     SC03249 1978/02 19S 177E PL XX
                     SC03239 1978/02 19S 177E PL XX
                     SC03200 1978/02 19S 177E PL XX
                     SC03192 1978/02 19S 177E PL XX
                     SC03169 1978/02 19S 177E PL XX
                     SC03121 1978/02 19S 177E PL XX
                     SC03112 1978/02 19S 177E PL XX
                     SC03103 1978/02 19S 177E PL XX
                     SC03097 1978/02 19S 177E PL XX
                     SC03090 1978/02 19S 177E PL XX
                     SC03086 1978/02 19S 177E PL XX
                     SC03083 1978/02 19S 177E PL XX
                     SC03072 1978/02 19S 177E PL XX
                     SC02973 1978/02 19S 177E PL XX
                     SC02967 1978/02 19S 177E PL XX
                     SC02946 1978/02 19S 177E PL XX
                     SC02942 1978/02 19S 177E PL XX
                     SC02934 1978/02 19S 177E PL XX
                     SC02908 1978/02 19S 177E PL XX
                     SC02907 1978/02 19S 177E PL XX
                     SC02905 1978/02 19S 177E PL XX
                     SC02806 1978/02 19S 177E PL XX
                     SC02773 1978/02 19S 177E PL XX
                     SC02772 1978/02 19S 177E PL XX
                     SC02753 1978/02 19S 177E PL XX
                     SC02722 1978/02 19S 177E PL XX
                     SC02719 1978/02 19S 177E PL XX
                     SC02713 1978/02 19S 177E PL XX
                     SC02689 1978/02 19S 177E PL XX
                     SC02683 1978/02 19S 177E PL XX
                     SC02679 1978/02 19S 177E PL XX
                     SC02678 1978/02 19S 177E PL XX
                     SC02667 1978/02 19S 177E PL XX
                     SC02661 1978/02 19S 177E PL XX
                     SC02657 1978/02 19S 177E PL XX
                     SC02653 1978/02 19S 177E PL XX
                     SC02649 1978/02 19S 177E PL XX
                     SC03539 1978/02 19S 177E PL XX
                     SC03528 1978/02 19S 177E PL XX
                     SC03511 1978/02 19S 177E PL XX
                     SC03495 1978/02 19S 177E PL XX
                     SC03491 1978/02 19S 177E PL XX
                     SC02436 1978/02 19S 177E PL XX
                     SC02427 1978/02 19S 177E PL XX
                     SC02308 1978/02 19S 177E PL XX
                     SC02343 1978/02 19S 177E PL XX
                     SC00546 1978/02 19S 177E PL XX
                     SC00551 1978/02 19S 177E PL XX
                     SC00581 1978/02 19S 177E PL XX
                     SC00578 1978/02 19S 177E PL XX
                     SC00590 1978/02 19S 177E PL XX
                     SC02254 1978/02 19S 177E PL XX
                     SC02268 1978/02 19S 177E PL XX
                     SC02285 1978/02 19S 177E PL XX
                     SC02296 1978/02 19S 177E PL XX
                     SC02277 1978/02 19S 177E PL XX
                     SC02248 1978/02 19S 178E PL XX
                     SC02576 1978/02 19S 178E PL XX
                     SC02998 1978/02 19S 178E PL XX
                     SC03095 1978/02 19S 178E PL XX
                     SC03196 1978/02 19S 178E PL XX
                     SC02699 1978/02 19S 178E PL XX
                     SC02303 1978/02 20S 177E PL XX
                     SC02888 1978/02 20S 177E PL XX
                     SC03470 1978/02 20S 177E PL XX
                     SC03065 1978/02 20S 177E PL XX
                     SC00561 1978/02 20S 177E PL XX
                     SC02255 1978/02 20S 177E PL XX
                     SC02295 1978/02 20S 177E PL XX
                     SC02297 1978/02 20S 177E PL XX
                     SC02284 1978/02 20S 177E PL XX
                     SC02826 1978/02 20S 178E PL XX
                     SC02300 1978/03 19S 177E PL XX
                     SC02332 1978/03 19S 177E PL XX
                     SC02484 1978/03 19S 177E PL XX
                     SC02478 1978/03 19S 177E PL XX
                     SC02447 1978/03 19S 177E PL XX
                     SC02435 1978/03 19S 177E PL XX
                     SC02434 1978/03 19S 177E PL XX
                     SC02415 1978/03 19S 177E PL XX
                     SC02405 1978/03 19S 177E PL XX
                     SC02386 1978/03 19S 177E PL XX
                     SC03490 1978/03 19S 177E PL XX
                     SC03458 1978/03 19S 177E PL XX
                     SC03454 1978/03 19S 177E PL XX
                     SC03387 1978/03 19S 177E PL XX
                     SC03361 1978/03 19S 177E PL XX
                     SC03323 1978/03 19S 177E PL XX
                     SC03248 1978/03 19S 177E PL XX
                     SC03246 1978/03 19S 177E PL XX
                     SC03227 1978/03 19S 177E PL XX
                     SC03185 1978/03 19S 177E PL XX
                     SC03142 1978/03 19S 177E PL XX
                     SC03113 1978/03 19S 177E PL XX
                     SC03099 1978/03 19S 177E PL XX
                     SC03096 1978/03 19S 177E PL XX
                     SC03044 1978/03 19S 177E PL XX
                     SC03036 1978/03 19S 177E PL XX
                     SC03029 1978/03 19S 177E PL XX
                     SC03011 1978/03 19S 177E PL XX
                     SC03001 1978/03 19S 177E PL XX
                     SC02957 1978/03 19S 177E PL XX
                     SC02885 1978/03 19S 177E PL XX
                     SC02866 1978/03 19S 177E PL XX
                     SC02856 1978/03 19S 177E PL XX
                     SC02737 1978/03 19S 177E PL XX
                     SC02703 1978/03 19S 177E PL XX
                     SC02614 1978/03 19S 177E PL XX
                     SC02612 1978/03 19S 177E PL XX
                     SC02571 1978/03 19S 177E PL XX
                     SC02514 1978/03 19S 177E PL XX
                     SC02500 1978/03 19S 177E PL XX
                     SC02384 1978/03 19S 177E PL XX
                     SC02745 1978/03 19S 177E PL XX
                     SC00584 1978/03 19S 177E PL XX
                     SC02290 1978/03 19S 177E PL XX
                     SC03804 1978/03 19S 177E PL XX
                     SC03917 1978/03 19S 177E PL XX
                     SC03806 1978/03 20S 177E PL XX
                     SC02808 1978/03 20S 177E PL XX
                     SC02906 1978/03 20S 177E PL XX
                     SC03003 1978/03 20S 177E PL XX
                     SC03074 1978/04 17S 179E PL XX
                     SC03170 1978/04 17S 179E PL XX
                     SC02502 1978/04 18S 179E PL XX
                     SC03173 1978/04 18S 179E PL XX
                     SC02842 1978/04 18S 179E PL XX
                     SC02487 1978/05 17S 179E PL XX
                     SC03287 1978/05 17S 179E PL XX
                     SC03079 1978/06          PL XX
                     SC02397 1978/06 17S 179E PL XX
                     SC02312 1978/06 18S 180W PL XX
                     SC02781 1978/11          PL XX
                     SC02945 1978/11          PL XX
                     SC04304 1978/11          PL XX
                     SC02289 1979/10 20N 163E PL YY
1978/02 19S 178E    50 
                     SC00505 1978/02 19S 177E PL XX
                     SC02237 1978/02 20S 177E PL XX
                     SC02228 1978/03 19S 177E PL XX
                     SC00508 1978/03 19S 177E PL XX
                     SC02233 1978/03 20S 177E PL XX
1978/02 19S 179E   251 
                     SC03740 1978/02 19S 177E PL XX
                     SC04082 1978/02 19S 177E PL XX
                     SC04075 1978/02 19S 177E PL XX
                     SC03756 1978/03 18S 179E PL XX
                     SC03603 1978/03 19S 177E PL XX
                     SC04100 1978/03 19S 177E PL XX
                     SC04071 1978/04 17S 179E PL XX
                     SC03710 1978/05 17S 179E PL XX
                     SC03639 1978/07 17S 179E PL XX
                     SC04101 1978/07 22S 176W PL TO
                     SC03831 1978/11          PL XX
                     SC03726 1979/02          PS WW
                     SC03859 1979/05 19S 175W PL TO
1978/02 20S 177E  1080 
                     SC00425 1978/02 19S 177E PL XX
                     SC00427 1978/02 19S 177E PL XX
                     SC00437 1978/02 19S 177E PL XX
                     SC00448 1978/02 19S 177E PL XX
                     SC00949 1978/02 19S 177E PL XX
                     SC00926 1978/02 19S 177E PL XX
                     SC00921 1978/02 19S 177E PL XX
                     SC00755 1978/02 19S 177E PL XX
                     SC00721 1978/02 19S 177E PL XX
                     SC00469 1978/02 19S 177E PL XX
                     SC00474 1978/02 19S 177E PL XX
                     SC00480 1978/02 19S 177E PL XX
                     SC02196 1978/02 19S 177E PL XX
                     SC00177 1978/02 19S 177E PL XX
                     SC00205 1978/02 19S 177E PL XX
                     SC00212 1978/02 19S 177E PL XX
                     SC00254 1978/02 19S 177E PL XX
                     VV01642 1978/02 19S 177E PL XX
                     VV01976 1978/02 19S 177E PL XX
                     VV01806 1978/02 19S 177E PL XX
                     VV01829 1978/02 19S 177E PL XX
                     VV01915 1978/02 19S 177E PL XX
                     VV01855 1978/02 19S 177E PL XX
                     VV01659 1978/02 19S 177E PL XX
                     VV01451 1978/02 19S 178E PL XX
                     VV01874 1978/02 19S 178E PL XX
                     SC00302 1978/02 19S 178E PL XX
                     SC00340 1978/02 19S 178E PL XX
                     VV01760 1978/02 20S 177E PL   
                     VV01846 1978/02 20S 177E PL   
                     VV01846 1978/02 20S 177E PL   
                     VV01441 1978/02 20S 177E PL XX
                     VV01446 1978/02 20S 177E PL XX
                     VV01652 1978/02 20S 177E PL XX
                     VV01687 1978/02 20S 177E PL XX
                     VV01698 1978/02 20S 177E PL XX
                     VV01767 1978/02 20S 177E PL XX
                     VV01788 1978/02 20S 177E PL XX
                     VV01779 1978/02 20S 177E PL XX
                     VV01890 1978/02 20S 177E PL XX
                     VV01886 1978/02 20S 177E PL XX
                     VV01877 1978/02 20S 177E PL XX
                     VV01861 1978/02 20S 177E PL XX
                     VV01837 1978/02 20S 177E PL XX
                     VV01807 1978/02 20S 177E PL XX
                     VV01804 1978/02 20S 177E PL XX
                     VV01793 1978/02 20S 177E PL XX
                     VV01974 1978/02 20S 177E PL XX
                     VV01960 1978/02 20S 177E PL XX
                     VV01932 1978/02 20S 177E PL XX
                     VV01931 1978/02 20S 177E PL XX
                     VV01919 1978/02 20S 177E PL XX
                     VV01909 1978/02 20S 177E PL XX
                     VV01901 1978/02 20S 177E PL XX
                     VV01900 1978/02 20S 177E PL XX
                     VV01898 1978/02 20S 177E PL XX
                     VV01758 1978/02 20S 177E PL XX
                     VV01700 1978/02 20S 177E PL XX
                     VV01696 1978/02 20S 177E PL XX
