1980/11 08S 157E 34          122.65
1980/11 08S 158E 14          61.89
1980/11 08S 159E 2          0
1980/11 08S 160E 9          42.26
1980/11 09S 156E 66          231.4
1980/11 09S 157E 52          217.35
1980/11 09S 158E 28          71.42
1980/11 09S 159E 28          74.2
1980/11 09S 160E 55          153.85
1980/11 09S 161E 1          0
1980/11 10S 156E 13          53.11
1980/11 10S 157E 47          178.42
1980/11 10S 158E 12          37.5
1980/11 10S 159E 79          290.88
1980/11 10S 160E 51          197.9
1980/11 10S 161E 21          70.9
1980/11 10S 162E 6          24.5
1980/11 11S 160E 2          1
1980/11 11S 161E 1          3
1980/12 07S 157E 2          3
1980/12 07S 158E 2          3
1980/12 08S 156E 39          69.4
1980/12 08S 157E 30          29.44
1980/12 08S 158E 19          41.44
1980/12 08S 159E 9          17
1980/12 08S 160E 16          23.09
1980/12 09S 156E 37          44.78
1980/12 09S 157E 71          113.25
1980/12 09S 158E 41          53.18
1980/12 09S 159E 23          38
1980/12 09S 160E 25          23.05
1980/12 09S 161E 2          0
1980/12 10S 156E 12          18.5
1980/12 10S 157E 53          111.27
1980/12 10S 158E 90          218.44
1980/12 10S 159E 65          151.16
1980/12 10S 160E 34          58.24
1980/12 10S 161E 23          23.21
1980/12 10S 162E 2          4.5
1981/01 07S 157E 1          3
1981/01 07S 158E 1          3
1981/01 08S 156E 30          69.4
1981/01 08S 157E 23          29.44
1981/01 08S 158E 15          41.44
1981/01 08S 159E 7          17
1981/01 08S 160E 12          23.09
1981/01 09S 156E 29          44.78
1981/01 09S 157E 55          113.25
1981/01 09S 158E 32          53.18
1981/01 09S 159E 18          38
1981/01 09S 160E 19          23.05
1981/01 09S 161E 1          0
1981/01 10S 156E 10          18.5
1981/01 10S 157E 41          111.27
1981/01 10S 158E 70          218.44
1981/01 10S 159E 51          151.16
1981/01 10S 160E 26          58.24
1981/01 10S 161E 18          23.21
1981/01 10S 162E 1          4.5
1981/03 09S 156E      20      57.62
1981/03 09S 157E       2       4.50
1981/03 09S 158E       1        .00
1981/03 10S 157E       2       3.33
1981/04 05S 160E       1        .00
1981/04 08S 156E       3       9.04
1981/04 08S 158E       3       4.44
1981/04 08S 160E       5      20.50
1981/04 08S 161E       1       5.00
1981/04 09S 156E      19      72.42
1981/04 09S 157E      12      75.23
1981/04 09S 158E      10      39.91
1981/04 09S 159E      14      58.00
1981/04 09S 160E      24      92.59
1981/04 09S 161E       2      12.90
1981/04 10S 156E      14      90.17
1981/04 10S 157E      50     237.80
1981/04 10S 158E      33     196.41
1981/04 10S 159E      25     105.93
1981/04 10S 160E       2       2.30
1981/04 10S 161E       3       7.00
1981/05 07S 156E       1       6.00
1981/05 07S 157E       5      35.00
1981/05 07S 160E       3      13.00
1981/05 08S 155E       1       2.00
1981/05 08S 156E      24      99.11
1981/05 08S 157E      14      60.49
1981/05 08S 158E      21      84.92
1981/05 08S 159E       3      16.20
1981/05 08S 160E       2       7.50
1981/05 08S 161E       1        .98
1981/05 09S 155E       3       6.90
1981/05 09S 156E     103     434.99
1981/05 09S 157E      32      88.15
1981/05 09S 158E      68     254.31
1981/05 09S 159E      39      98.84
1981/05 09S 160E      44     115.26
1981/05 09S 161E       4       6.30
1981/05 10S 156E      17      58.46
1981/05 10S 157E      50     166.12
1981/05 10S 158E      20      87.36
1981/05 10S 159E      32      86.80
1981/05 10S 160E       8      12.50
1981/05 10S 161E       3       8.50
1981/05 11S 160E       1       2.00
1981/06 07S 157E       2       6.50
1981/06 08S 155E       1       2.00
1981/06 08S 156E      29     127.65
1981/06 08S 157E      19      57.57
1981/06 08S 158E       9      28.60
1981/06 08S 160E       2      14.00
1981/06 08S 161E       1       5.00
1981/06 09S 156E      69     348.18
1981/06 09S 157E      42     123.06
1981/06 09S 158E      84     372.72
1981/06 09S 159E      61     334.96
1981/06 09S 160E      68     368.92
1981/06 10S 156E      20      80.50
1981/06 10S 157E      62     316.08
1981/06 10S 158E      64     411.06
1981/06 10S 159E      61     280.56
1981/06 10S 160E       2      16.00
1981/06 10S 161E       6      45.00
1981/07 07S 160E       1       2.00
1981/07 08S 156E      42     188.38
1981/07 08S 157E      19      90.50
1981/07 08S 158E       5      17.00
1981/07 08S 159E       1        .50
1981/07 08S 160E       1       1.00
1981/07 09S 156E      79     423.65
1981/07 09S 157E      96     468.05
1981/07 09S 158E      79     349.58
1981/07 09S 159E      33     132.20
1981/07 09S 160E      83     378.49
1981/07 10S 156E      10      73.30
1981/07 10S 157E      43     258.10
1981/07 10S 158E      28     103.35
1981/07 10S 159E      81     281.19
1981/07 10S 160E      13      27.00
1981/08 08S 155E       3      20.00
1981/08 08S 156E      21     128.38
1981/08 08S 157E      46     280.36
1981/08 08S 158E      12      87.00
1981/08 09S 153E       1       6.00
1981/08 09S 155E       1        .00
1981/08 09S 156E      47     244.26
1981/08 09S 157E     113     596.90
1981/08 09S 158E      96     718.25
1981/08 09S 159E      52     246.10
1981/08 09S 160E      44     225.31
1981/08 10S 156E      16     108.51
1981/08 10S 157E      45     253.63
1981/08 10S 158E      31     141.09
1981/08 10S 159E      78     331.85
1981/08 10S 161E       9      47.30
1981/08 11S 157E       1       8.60
1981/09 08S 156E      32     138.73
1981/09 08S 157E      74     376.87
1981/09 08S 158E      32     162.47
1981/09 08S 160E       2       2.00
1981/09 09S 156E      58     278.91
1981/09 09S 157E      81     409.67
1981/09 09S 158E      66     229.72
1981/09 09S 159E      74     236.26
1981/09 09S 160E      48     171.70
1981/09 10S 156E      12      56.94
1981/09 10S 157E      14      71.39
1981/09 10S 158E      15      65.55
1981/09 10S 159E      72     276.08
1981/09 10S 160E       6      27.50
1981/09 10S 161E       1        .40
1981/09 11S 159E       1        .50
1981/10 08S 156E      52     163.38
1981/10 08S 157E      58     219.60
1981/10 08S 158E      35     112.34
1981/10 08S 159E       3       8.00
1981/10 09S 156E      56     236.70
1981/10 09S 157E      45     177.88
1981/10 09S 158E      33      94.56
1981/10 09S 159E      37     107.50
1981/10 09S 160E      79     230.36
1981/10 09S 161E       1        .20
1981/10 10S 156E       5      18.20
1981/10 10S 157E      44     223.87
1981/10 10S 158E      17      67.60
1981/10 10S 159E      52     122.90
1981/10 10S 160E      59     231.47
1981/10 10S 161E       9      15.00
1981/11 07S 157E       1       7.00
1981/11 08S 156E      44     179.64
1981/11 08S 157E      36     122.65
1981/11 08S 158E      15      61.89
1981/11 08S 159E       2        .00
1981/11 08S 160E       9      42.26
1981/11 09S 156E      70     231.40
1981/11 09S 157E      55     217.35
1981/11 09S 158E      30      71.42
1981/11 09S 159E      30      74.20
1981/11 09S 160E      58     153.85
1981/11 09S 161E       1        .00
1981/11 10S 156E      14      53.11
1981/11 10S 157E      50     178.42
1981/11 10S 158E      13      37.50
1981/11 10S 159E      83     290.88
1981/11 10S 160E      54     197.90
1981/11 10S 161E      22      70.90
1981/11 10S 162E       6      24.50
1981/11 11S 160E       2       1.00
1981/11 11S 161E       1       3.00
1981/12 07S 157E       1       3.00
1981/12 07S 158E       1       3.00
1981/12 08S 156E      22      69.40
1981/12 08S 157E      17      29.44
1981/12 08S 158E      11      41.44
1981/12 08S 159E       5      17.00
1981/12 08S 160E       9      23.09
1981/12 09S 156E      21      44.78
1981/12 09S 157E      40     113.25
1981/12 09S 158E      23      53.18
1981/12 09S 159E      13      38.00
1981/12 09S 160E      14      23.05
1981/12 09S 161E       1        .00
1981/12 10S 156E       7      18.50
1981/12 10S 157E      30     111.27
1981/12 10S 158E      51     218.44
1981/12 10S 159E      37     151.16
1981/12 10S 160E      19      58.24
1981/12 10S 161E      13      23.21
1981/12 10S 162E       1       4.50
1982/05 06S 151E       1        .91
1982/05 06S 157E       1       5.46
1982/05 08S 155E       1       1.50
1982/05 08S 156E      24     115.15
1982/05 08S 157E      34     126.61
1982/05 08S 158E      19      68.19
1982/05 08S 159E       5      15.00
1982/05 09S 151E       1        .00
1982/05 09S 154E       1        .00
1982/05 09S 156E      63     290.47
1982/05 09S 157E      36     131.44
1982/05 09S 158E      90     465.64
1982/05 09S 159E      45     180.25
1982/05 09S 160E      13      31.19
1982/05 10S 155E       1        .00
1982/05 10S 156E      15      85.83
1982/05 10S 157E      75     392.08
1982/05 10S 158E      51     241.16
1982/05 10S 159E      54     277.37
1982/05 10S 160E      16     114.73
1982/05 10S 161E       4      29.50
1982/05 10S 162E       1       2.80
1982/05 11S 155E       3       4.50
1982/05 11S 156E       2       1.30
1982/05 11S 157E       2       3.00
1982/05 11S 158E       1       2.00
1982/06 06S 159E       1       5.50
1982/06 07S 158E       1       1.00
1982/06 08S 156E      66     293.05
1982/06 08S 157E     102     320.59
1982/06 08S 158E      27      81.75
1982/06 08S 159E       1       1.00
1982/06 09S 155E       4       3.00
1982/06 09S 156E      64     214.70
1982/06 09S 157E      28      80.12
1982/06 09S 158E      51     132.24
1982/06 09S 159E      42      92.70
1982/06 09S 160E      38     108.54
1982/06 10S 156E      12      30.70
1982/06 10S 157E      27      75.10
1982/06 10S 158E      31      98.80
1982/06 10S 159E      83     291.65
1982/06 10S 160E      23      76.30
